order,family,scientific,en,zh-hans,zh-hant,ja
STRUTHIONIFORMES,Struthionidae,Struthio camelus,Common Ostrich,非洲鸵鸟,鴕鳥,ダチョウ
STRUTHIONIFORMES,Struthionidae,Struthio molybdophanes,Somali Ostrich,灰颈鸵鸟,索馬利亞鴕鳥,ソマリダチョウ
RHEIFORMES,Rheidae,Rhea americana,Greater Rhea,大美洲鸵,大美洲鴕,レア
RHEIFORMES,Rheidae,Rhea pennata,Lesser Rhea,小美洲鸵,小美洲鴕,ダーウィンレア
APTERYGIFORMES,Apterygidae,Apteryx australis,Southern Brown Kiwi,褐几维,南方褐鷸鴕,キーウィ
APTERYGIFORMES,Apterygidae,Apteryx mantelli,North Island Brown Kiwi,北岛褐几维,北島褐鷸鴕,キタキーウィ
APTERYGIFORMES,Apterygidae,Apteryx rowi,Okarito Kiwi,白眶几维,奧卡里多褐鷸鴕,オカリトキーウィ
APTERYGIFORMES,Apterygidae,Apteryx owenii,Little Spotted Kiwi,小斑几维,小斑鷸鴕,コマダラキーウィ
APTERYGIFORMES,Apterygidae,Apteryx haastii,Great Spotted Kiwi,大斑几维,大斑鷸鴕,オオマダラキーウィ
CASUARIIFORMES,Casuariidae,Casuarius casuarius,Southern Cassowary,双垂鹤鸵,雙垂鶴鴕,ヒクイドリ
CASUARIIFORMES,Casuariidae,Casuarius bennetti,Dwarf Cassowary,侏鹤鸵,侏鶴鴕,コヒクイドリ
CASUARIIFORMES,Casuariidae,Casuarius unappendiculatus,Northern Cassowary,单垂鹤鸵,單垂鶴鴕,パプアヒクイドリ
CASUARIIFORMES,Casuariidae,Dromaius novaehollandiae,Emu,鸸鹋,鴯鶓,エミュー
TINAMIFORMES,Tinamidae,Tinamus tao,Grey Tinamou,灰䳍,灰(共鳥),ハイイロシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus solitarius,Solitary Tinamou,孤䳍,孤(共鳥),オバシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus osgoodi,Black Tinamou,黑䳍,黑(共鳥),クロシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus major,Great Tinamou,大䳍,大(共鳥),オオシギダチョウ
TINAMIFORMES,Tinamidae,Tinamus guttatus,White-throated Tinamou,白喉䳍,白喉(共鳥),ノドジロシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus bonapartei,Highland Tinamou,黑头林䳍,高原林(共鳥),タカネシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus julius,Tawny-breasted Tinamou,红头林䳍,茶胸林(共鳥),チャバラシギダチョウ
TINAMIFORMES,Tinamidae,Nothocercus nigrocapillus,Hooded Tinamou,灰头白喉林䳍,冠林(共鳥),コモンシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus berlepschi,Berlepsch's Tinamou,伯氏穴䳍,巴勒氏穴(共鳥),ススグロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus cinereus,Cinereous Tinamou,灰穴䳍,灰穴(共鳥),ムジシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus soui,Little Tinamou,小穴䳍,小穴(共鳥),コシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus ptaritepui,Tepui Tinamou,灰喉穴䳍,灰喉穴(共鳥),メジロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus obsoletus,Brown Tinamou,褐穴䳍,褐穴(共鳥),チャイロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus undulatus,Undulated Tinamou,波斑穴䳍,波斑穴(共鳥),シロハラシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus transfasciatus,Pale-browed Tinamou,淡眉穴䳍,蒼眉穴(共鳥),マミジロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus strigulosus,Brazilian Tinamou,巴西穴䳍,巴西穴(共鳥),ブラジルシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus duidae,Grey-legged Tinamou,灰腿穴䳍,灰足穴(共鳥),アオアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus erythropus,Red-legged Tinamou,红脚穴䳍,紅足穴(共鳥),アカアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus noctivagus,Yellow-legged Tinamou,黄腿穴䳍,黃足穴(共鳥),キアシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus atrocapillus,Black-capped Tinamou,黑顶穴䳍,黑頂穴(共鳥),ズグロシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus cinnamomeus,Thicket Tinamou,棕穴䳍,棕穴(共鳥),ヤブシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus boucardi,Slaty-breasted Tinamou,灰胸穴䳍,灰胸穴(共鳥),モリシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus kerriae,Choco Tinamou,乔科穴䳍,喬科穴(共鳥),コシジマシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus variegatus,Variegated Tinamou,杂色穴䳍,雜色穴(共鳥),ムネアカシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus brevirostris,Rusty Tinamou,锈栗穴䳍,鏽色穴(共鳥),アマゾンシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus bartletti,Bartlett's Tinamou,巴氏穴䳍,巴特氏穴(共鳥),オトメシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus parvirostris,Small-billed Tinamou,小嘴穴䳍,小嘴穴(共鳥),コバシシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus casiquiare,Barred Tinamou,斑穴䳍,斑穴(共鳥),トラフシギダチョウ
TINAMIFORMES,Tinamidae,Crypturellus tataupa,Tataupa Tinamou,塔陶穴䳍,塔陶巴穴(共鳥),ヒメシギダチョウ
TINAMIFORMES,Tinamidae,Rhynchotus rufescens,Red-winged Tinamou,红翅䳍,紅翅(共鳥),アカバネシギダチョウ
TINAMIFORMES,Tinamidae,Rhynchotus maculicollis,Huayco Tinamou,哨音红翅䳍,懷科紅翅(共鳥),クビワアカバネシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta taczanowskii,Taczanowski's Tinamou,高山斑䳍,高山鴇尾(共鳥),ハシナガシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta ornata,Ornate Tinamou,丽色斑䳍,麗色鴇尾(共鳥),ゴマダラシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta perdicaria,Chilean Tinamou,智利斑䳍,智利鴇尾(共鳥),チリーシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta cinerascens,Brushland Tinamou,灰斑䳍,灰鴇尾(共鳥),アレチシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta pentlandii,Andean Tinamou,安第斯斑䳍,安地斯鴇尾(共鳥),アンデスシギダチョウ
TINAMIFORMES,Tinamidae,Nothoprocta curvirostris,Curve-billed Tinamou,弯嘴斑䳍,彎嘴鴇尾(共鳥),ハシボソシギダチョウ
TINAMIFORMES,Tinamidae,Nothura boraquira,White-bellied Nothura,白腹拟䳍,白腹擬(共鳥),ウズラシギダチョウ
TINAMIFORMES,Tinamidae,Nothura minor,Lesser Nothura,小拟䳍,小擬(共鳥),ヒメウズラシギダチョウ
TINAMIFORMES,Tinamidae,Nothura darwinii,Darwin's Nothura,达尔文拟䳍,達爾文擬(共鳥),ダーウィンシギダチョウ
TINAMIFORMES,Tinamidae,Nothura maculosa,Spotted Nothura,斑拟䳍,斑擬(共鳥),マダラシギダチョウ
TINAMIFORMES,Tinamidae,Taoniscus nanus,Dwarf Tinamou,侏䳍,侏(共鳥),マメシギダチョウ
TINAMIFORMES,Tinamidae,Eudromia elegans,Elegant Crested Tinamou,凤头䳍,鳳頭(共鳥),カンムリシギダチョウ
TINAMIFORMES,Tinamidae,Eudromia formosa,Quebracho Crested Tinamou,棕凤头䳍,麗色鳳頭(共鳥),ミコシギダチョウ
TINAMIFORMES,Tinamidae,Tinamotis pentlandii,Puna Tinamou,北山䳍,普納高原(共鳥),ミツユビシギダチョウ
TINAMIFORMES,Tinamidae,Tinamotis ingoufi,Patagonian Tinamou,南山䳍,巴塔哥尼亞高原(共鳥),パタゴニアシギダチョウ
ANSERIFORMES,Anhimidae,Anhima cornuta,Horned Screamer,角叫鸭,角叫鴨,ツノサケビドリ
ANSERIFORMES,Anhimidae,Chauna chavaria,Northern Screamer,黑颈冠叫鸭,黑頸叫鴨〔北方叫鴨〕,クロエリサケビドリ
ANSERIFORMES,Anhimidae,Chauna torquata,Southern Screamer,冠叫鸭,冠叫鴨〔南方叫鴨〕,カンムリサケビドリ
ANSERIFORMES,Anseranatidae,Anseranas semipalmata,Magpie Goose,鹊雁,鵲鵝,カササギガン
ANSERIFORMES,Anatidae,Dendrocygna viduata,White-faced Whistling Duck,白脸树鸭,白臉樹鴨,シロガオリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling Duck,黑腹树鸭,紅嘴樹鴨,アカハシリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna guttata,Spotted Whistling Duck,细斑树鸭,細斑樹鴨,シラボシリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna arborea,West Indian Whistling Duck,西印度树鸭,黑嘴樹鴨,ハシグロリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna bicolor,Fulvous Whistling Duck,茶色树鸭,草黃樹鴨,アカリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna eytoni,Plumed Whistling Duck,尖羽树鸭,尖羽樹鴨,カザリリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna arcuata,Wandering Whistling Duck,斑胸树鸭,胸斑樹鴨,オオリュウキュウガモ
ANSERIFORMES,Anatidae,Dendrocygna javanica,Lesser Whistling Duck,栗树鸭,樹鴨〔栗樹鴨〕,リュウキュウガモ
ANSERIFORMES,Anatidae,Thalassornis leuconotus,White-backed Duck,白背鸭,白背鴨,コシジロガモ
ANSERIFORMES,Anatidae,Cereopsis novaehollandiae,Cape Barren Goose,澳洲灰雁,臘嘴雁,ロウバシガン
ANSERIFORMES,Anatidae,Branta bernicla,Brant Goose,黑雁,黑雁,コクガン
ANSERIFORMES,Anatidae,Branta ruficollis,Red-breasted Goose,红胸黑雁,紅胸黑雁,アオガン
ANSERIFORMES,Anatidae,Branta sandvicensis,Nene,夏威夷黑雁,夏威夷雁〔黃頸黑雁〕,ハワイガン
ANSERIFORMES,Anatidae,Branta canadensis,Canada Goose,加拿大黑雁,加拿大雁,カナダガン
ANSERIFORMES,Anatidae,Branta leucopsis,Barnacle Goose,白颊黑雁,白頰黑雁,カオジロガン
ANSERIFORMES,Anatidae,Branta hutchinsii,Cackling Goose,小美洲黑雁,小加拿大雁,シジュウカラガン
ANSERIFORMES,Anatidae,Anser indicus,Bar-headed Goose,斑头雁,斑頭雁,インドガン
ANSERIFORMES,Anatidae,Anser canagicus,Emperor Goose,帝雁,皇雁,ミカドガン
ANSERIFORMES,Anatidae,Anser rossii,Ross's Goose,细嘴雁,細嘴雁,ヒメハクガン
ANSERIFORMES,Anatidae,Anser caerulescens,Snow Goose,雪雁,雪雁,ハクガン
ANSERIFORMES,Anatidae,Anser anser,Greylag Goose,灰雁,灰雁,ハイイロガン
ANSERIFORMES,Anatidae,Anser cygnoides,Swan Goose,鸿雁,鴻雁,サカツラガン
ANSERIFORMES,Anatidae,Anser fabalis,Taiga Bean Goose,豆雁,寒林豆雁,ニシヒシクイ
ANSERIFORMES,Anatidae,Anser brachyrhynchus,Pink-footed Goose,粉脚雁,粉腳雁,コザクラバシガン
ANSERIFORMES,Anatidae,Anser serrirostris,Tundra Bean Goose,短嘴豆雁,凍原豆雁,ヒシクイ
ANSERIFORMES,Anatidae,Anser albifrons,Greater White-fronted Goose,白额雁,白額雁,マガン
ANSERIFORMES,Anatidae,Anser erythropus,Lesser White-fronted Goose,小白额雁,小白額雁,カリガネ
ANSERIFORMES,Anatidae,Coscoroba coscoroba,Coscoroba Swan,扁嘴天鹅,扁嘴天鵝,カモハクチョウ
ANSERIFORMES,Anatidae,Cygnus atratus,Black Swan,黑天鹅,黑天鵝,コクチョウ
ANSERIFORMES,Anatidae,Cygnus melancoryphus,Black-necked Swan,黑颈天鹅,黑頸天鵝,クロエリハクチョウ
ANSERIFORMES,Anatidae,Cygnus olor,Mute Swan,疣鼻天鹅,疣鼻天鵝〔赤嘴天鵝〕,コブハクチョウ
ANSERIFORMES,Anatidae,Cygnus buccinator,Trumpeter Swan,黑嘴天鹅,號手天鵝,ナキハクチョウ
ANSERIFORMES,Anatidae,Cygnus columbianus,Tundra Swan,小天鹅,小天鵝,コハクチョウ
ANSERIFORMES,Anatidae,Cygnus cygnus,Whooper Swan,大天鹅,黃嘴天鵝〔大天鵝〕,オオハクチョウ
ANSERIFORMES,Anatidae,Stictonetta naevosa,Freckled Duck,澳洲斑鸭,點斑鴨,ゴマフガモ
ANSERIFORMES,Anatidae,Hymenolaimus malacorhynchos,Blue Duck,山鸭,山藍鴨,アオヤマガモ
ANSERIFORMES,Anatidae,Tachyeres patachonicus,Flying Steamer Duck,花斑船鸭,花斑船鴨,トビフナガモ
ANSERIFORMES,Anatidae,Tachyeres pteneres,Fuegian Steamer Duck,灰船鸭,灰船鴨,オオフナガモ
ANSERIFORMES,Anatidae,Tachyeres brachypterus,Falkland Steamer Duck,短翅船鸭,短翅船鴨,フナガモ
ANSERIFORMES,Anatidae,Tachyeres leucocephalus,Chubut Steamer Duck,白头船鸭,白頭船鴨,アルゼンチンフナガモ
ANSERIFORMES,Anatidae,Merganetta armata,Torrent Duck,湍鸭,湍鴨,ヤマガモ
ANSERIFORMES,Anatidae,Plectropterus gambensis,Spur-winged Goose,距翅雁,距翅雁,ツメバガン
ANSERIFORMES,Anatidae,Sarkidiornis sylvicola,Comb Duck,美洲瘤鸭,南美瘤鴨,アメリカコブガモ
ANSERIFORMES,Anatidae,Sarkidiornis melanotos,Knob-billed Duck,瘤鸭,瘤鴨,コブガモ
ANSERIFORMES,Anatidae,Cyanochen cyanoptera,Blue-winged Goose,蓝翅雁,藍翅雁,アオバコバシガン
ANSERIFORMES,Anatidae,Alopochen aegyptiaca,Egyptian Goose,埃及雁,埃及雁,エジプトガン
ANSERIFORMES,Anatidae,Alopochen mauritiana,Mauritius Sheldgoose,毛里求斯雁,模里西斯雁,モーリシャスツクシガモ
ANSERIFORMES,Anatidae,Alopochen kervazoi,Reunion Sheldgoose,留尼汪雁,留尼旺雁,レユニオンツクシガモ
ANSERIFORMES,Anatidae,Neochen jubata,Orinoco Goose,绿翅雁,綠翅雁,オリノコガン
ANSERIFORMES,Anatidae,Chloephaga melanoptera,Andean Goose,黑翅草雁,黑翅草雁,アンデスガン
ANSERIFORMES,Anatidae,Chloephaga picta,Upland Goose,斑胁草雁,斑脇草雁,マゼランガン
ANSERIFORMES,Anatidae,Chloephaga hybrida,Kelp Goose,白草雁,白草雁,シロコバシガン
ANSERIFORMES,Anatidae,Chloephaga poliocephala,Ashy-headed Goose,灰头草雁,灰頭草雁,コバシガン
ANSERIFORMES,Anatidae,Chloephaga rubidiceps,Ruddy-headed Goose,棕头草雁,棕頭草雁,チャガシラコバシガン
ANSERIFORMES,Anatidae,Radjah radjah,Radjah Shelduck,白腹麻鸭,白腹麻鴨,シロガシラツクシガモ
ANSERIFORMES,Anatidae,Tadorna tadorna,Common Shelduck,翘鼻麻鸭,花鳧〔翹鼻麻鴨〕,ツクシガモ
ANSERIFORMES,Anatidae,Tadorna ferruginea,Ruddy Shelduck,赤麻鸭,瀆鳧〔黃麻鴨，赤麻鴨〕,アカツクシガモ
ANSERIFORMES,Anatidae,Tadorna cana,South African Shelduck,灰头麻鸭,灰頭麻鴨,ネズミガシラツクシガモ
ANSERIFORMES,Anatidae,Tadorna tadornoides,Australian Shelduck,棕胸麻鸭,棕胸麻鴨,クビワアカツクシガモ
ANSERIFORMES,Anatidae,Tadorna variegata,Paradise Shelduck,黑胸麻鸭,黑胸麻鴨,クロアカツクシガモ
ANSERIFORMES,Anatidae,Tadorna cristata,Crested Shelduck,冠麻鸭,鳳頭麻鴨1943滅絕?,カンムリツクシガモ
ANSERIFORMES,Anatidae,Malacorhynchus membranaceus,Pink-eared Duck,红耳鸭,紅耳鴨,サザナミオオハシガモ
ANSERIFORMES,Anatidae,Salvadorina waigiuensis,Salvadori's Teal,花纹鸭,花紋鴨,サザナミガモ
ANSERIFORMES,Anatidae,Cairina moschata,Muscovy Duck,疣鼻栖鸭,疣鼻棲鴨,ノバリケン
ANSERIFORMES,Anatidae,Asarcornis scutulata,White-winged Duck,白翅栖鸭,白翅棲鴨,ハジロモリガモ
ANSERIFORMES,Anatidae,Pteronetta hartlaubii,Hartlaub's Duck,黑头凫,藍翅棲鴨,シラガガモ
ANSERIFORMES,Anatidae,Aix sponsa,Wood Duck,林鸳鸯,林鴛鴦,アメリカオシ
ANSERIFORMES,Anatidae,Aix galericulata,Mandarin Duck,鸳鸯,鴛鴦,オシドリ
ANSERIFORMES,Anatidae,Chenonetta jubata,Maned Duck,鬃林鸭,鬃林鴨,タテガミガン
ANSERIFORMES,Anatidae,Nettapus auritus,African Pygmy Goose,厚嘴棉凫,厚嘴棉鴨,アフリカマメガン
ANSERIFORMES,Anatidae,Nettapus coromandelianus,Cotton Pygmy Goose,棉凫,棉鴨,ナンキンオシ
ANSERIFORMES,Anatidae,Nettapus pulchellus,Green Pygmy Goose,绿棉凫,綠棉鴨,アオマメガン
ANSERIFORMES,Anatidae,Amazonetta brasiliensis,Brazilian Teal,巴西凫,巴西鴨,アカアシコガモ
ANSERIFORMES,Anatidae,Callonetta leucophrys,Ringed Teal,环颈鸭,半領鴨,クビワコガモ
ANSERIFORMES,Anatidae,Lophonetta specularioides,Crested Duck,冠鸭,鳳頭鴨,カンムリガモ
ANSERIFORMES,Anatidae,Speculanas specularis,Bronze-winged Duck,铜翅鸭,銅翅鴨,ノドジロガモ
ANSERIFORMES,Anatidae,Sibirionetta formosa,Baikal Teal,花脸鸭,巴鴨〔花臉鴨〕,トモエガモ
ANSERIFORMES,Anatidae,Spatula querquedula,Garganey,白眉鸭,白眉鴨,シマアジ
ANSERIFORMES,Anatidae,Spatula hottentota,Blue-billed Teal,南非鸭,南非鴨,アフリカコガモ
ANSERIFORMES,Anatidae,Spatula puna,Puna Teal,安第斯银鸭,普納高原鴨,プナシマアジ
ANSERIFORMES,Anatidae,Spatula versicolor,Silver Teal,银鸭,銀鴨,ギンイロシマアジ
ANSERIFORMES,Anatidae,Spatula platalea,Red Shoveler,赤琵嘴鸭,赤琵嘴鴨,アカハシビロガモ
ANSERIFORMES,Anatidae,Spatula cyanoptera,Cinnamon Teal,桂红鸭,桂紅鴨,アカシマアジ
ANSERIFORMES,Anatidae,Spatula discors,Blue-winged Teal,蓝翅鸭,藍翅鴨,ミカヅキシマアジ
ANSERIFORMES,Anatidae,Spatula smithii,Cape Shoveler,褐顶琵嘴鸭,褐頂琵嘴鴨,ケープハシビロガモ
ANSERIFORMES,Anatidae,Spatula rhynchotis,Australasian Shoveler,黑顶琵嘴鸭,黑頂琵嘴鴨,ミカヅキハシビロガモ
ANSERIFORMES,Anatidae,Spatula clypeata,Northern Shoveler,琵嘴鸭,琵嘴鴨,ハシビロガモ
ANSERIFORMES,Anatidae,Mareca strepera,Gadwall,赤膀鸭,赤膀鴨,オカヨシガモ
ANSERIFORMES,Anatidae,Mareca falcata,Falcated Duck,罗纹鸭,羅紋鴨,ヨシガモ
ANSERIFORMES,Anatidae,Mareca penelope,Eurasian Wigeon,赤颈鸭,赤頸鴨,ヒドリガモ
ANSERIFORMES,Anatidae,Mareca sibilatrix,Chiloe Wigeon,黑白斑胸鸭,黑白斑胸鴨,ワキアカヒドリ
ANSERIFORMES,Anatidae,Mareca americana,American Wigeon,绿眉鸭,葡萄胸鴨,アメリカヒドリ
ANSERIFORMES,Anatidae,Mareca marecula,Amsterdam Wigeon,阿岛鸭,阿姆斯特丹鴨,アムステルダムガモ
ANSERIFORMES,Anatidae,Anas sparsa,African Black Duck,非洲黑鸭,黑鴨,シラボシガモ
ANSERIFORMES,Anatidae,Anas undulata,Yellow-billed Duck,非洲黄嘴鸭,黃嘴鴨,キバシガモ
ANSERIFORMES,Anatidae,Anas melleri,Meller's Duck,麻斑鸭,麻斑鴨,マダガスカルガモ
ANSERIFORMES,Anatidae,Anas superciliosa,Pacific Black Duck,太平洋黑鸭,澳洲灰鴨,マミジロカルガモ
ANSERIFORMES,Anatidae,Anas laysanensis,Laysan Duck,莱岛鸭,來珊鴨,レイサンマガモ
ANSERIFORMES,Anatidae,Anas wyvilliana,Hawaiian Duck,夏威夷鸭,夏威夷鴨,ハワイマガモ
ANSERIFORMES,Anatidae,Anas luzonica,Philippine Duck,棕颈鸭,菲律賓鴨〔棕頸鴨，呂宋鴨 〕,アカノドカルガモ
ANSERIFORMES,Anatidae,Anas poecilorhyncha,Indian Spot-billed Duck,印缅斑嘴鸭,印緬花嘴鴨〔印緬斑嘴鴨〕,アカボシカルガモ
ANSERIFORMES,Anatidae,Anas zonorhyncha,Eastern Spot-billed Duck,斑嘴鸭,東方花嘴鴨〔東方斑嘴鴨〕,カルガモ
ANSERIFORMES,Anatidae,Anas platyrhynchos,Mallard,绿头鸭,綠頭鴨,マガモ
ANSERIFORMES,Anatidae,Anas fulvigula,Mottled Duck,北美斑鸭,斑點鴨,マダラガモ
ANSERIFORMES,Anatidae,Anas rubripes,American Black Duck,北美黑鸭,綠嘴黑鴨,アメリカガモ
ANSERIFORMES,Anatidae,Anas diazi,Mexican Duck,墨西哥鸭,墨西哥鴨,メキシコガモ
ANSERIFORMES,Anatidae,Anas capensis,Cape Teal,绿翅灰斑鸭,綠翅灰斑鴨,アカハシコガモ
ANSERIFORMES,Anatidae,Anas bahamensis,White-cheeked Pintail,白脸针尾鸭,白臉針尾鴨,ホオジロオナガガモ
ANSERIFORMES,Anatidae,Anas erythrorhyncha,Red-billed Teal,赤嘴鸭,赤嘴鴨,アカハシオナガガモ
ANSERIFORMES,Anatidae,Anas georgica,Yellow-billed Pintail,黄嘴针尾鸭,黃嘴針尾鴨,キバシオナガガモ
ANSERIFORMES,Anatidae,Anas eatoni,Eaton's Pintail,凯岛针尾鸭,伊東氏針尾鴨,イートンオナガガモ
ANSERIFORMES,Anatidae,Anas acuta,Northern Pintail,针尾鸭,尖尾鴨〔針尾鴨〕,オナガガモ
ANSERIFORMES,Anatidae,Anas crecca,Eurasian Teal,绿翅鸭,小水鴨,コガモ
ANSERIFORMES,Anatidae,Anas carolinensis,Green-winged Teal,美洲绿翅鸭,美洲小水鴨〔綠翅鴨〕,アメリカコガモ
ANSERIFORMES,Anatidae,Anas flavirostris,Yellow-billed Teal,黄嘴鸭,斑頭綠翅鴨〔黃嘴鴨〕,キバシコガモ
ANSERIFORMES,Anatidae,Anas andium,Andean Teal,斑头鸭,安地斯鴨,アンデスコガモ
ANSERIFORMES,Anatidae,Anas gibberifrons,Sunda Teal,爪哇灰鸭,巽他灰鴨,インドネシアコガモ
ANSERIFORMES,Anatidae,Anas albogularis,Andaman Teal,安岛灰鸭,安達曼灰鴨,アンダマンコガモ
ANSERIFORMES,Anatidae,Anas theodori,Mascarene Teal,毛里求斯鸭,馬斯卡拉鴨,モーリシャスコガモ
ANSERIFORMES,Anatidae,Anas gracilis,Grey Teal,灰鸭,灰鴨,ハイイロコガモ
ANSERIFORMES,Anatidae,Anas castanea,Chestnut Teal,栗胸鸭,栗胸鴨,アオクビコガモ
ANSERIFORMES,Anatidae,Anas bernieri,Bernier's Teal,马岛鸭,馬達加斯加麻斑鴨,シロスジコガモ
ANSERIFORMES,Anatidae,Anas chlorotis,Brown Teal,褐鸭,棕腹鴨,チャイロコガモ
ANSERIFORMES,Anatidae,Anas aucklandica,Auckland Teal,奥岛鸭,奧克蘭島鴨,クリイロコガモ
ANSERIFORMES,Anatidae,Anas nesiotis,Campbell Teal,坎岛鸭,坎培爾島鴨1975滅絕,キャンベルコガモ
ANSERIFORMES,Anatidae,Marmaronetta angustirostris,Marbled Duck,云石斑鸭,雲石斑鴨,ウスユキガモ
ANSERIFORMES,Anatidae,Rhodonessa caryophyllacea,Pink-headed Duck,粉头鸭,粉頭鴨1944滅絕,バライロガモ
ANSERIFORMES,Anatidae,Netta rufina,Red-crested Pochard,赤嘴潜鸭,赤嘴潛鴨,アカハシハジロ
ANSERIFORMES,Anatidae,Netta peposaca,Rosy-billed Pochard,粉嘴潜鸭,粉嘴潛鴨,ベニバシガモ
ANSERIFORMES,Anatidae,Netta erythrophthalma,Southern Pochard,灰嘴潜鸭,灰嘴潛鴨,ネッタイハジロ
ANSERIFORMES,Anatidae,Aythya valisineria,Canvasback,帆背潜鸭,帆背潛鴨,オオホシハジロ
ANSERIFORMES,Anatidae,Aythya americana,Redhead,美洲潜鸭,美洲潛鴨,アメリカホシハジロ
ANSERIFORMES,Anatidae,Aythya ferina,Common Pochard,红头潜鸭,紅頭潛鴨,ホシハジロ
ANSERIFORMES,Anatidae,Aythya australis,Hardhead,澳洲潜鸭,澳洲潛鴨,オーストラリアメジロガモ
ANSERIFORMES,Anatidae,Aythya innotata,Madagascar Pochard,马岛潜鸭,馬達加斯加潛鴨,マダガスカルメジロガモ
ANSERIFORMES,Anatidae,Aythya baeri,Baer's Pochard,青头潜鸭,青頭潛鴨,アカハジロ
ANSERIFORMES,Anatidae,Aythya nyroca,Ferruginous Duck,白眼潜鸭,白眼潛鴨,メジロガモ
ANSERIFORMES,Anatidae,Aythya novaeseelandiae,New Zealand Scaup,新西兰潜鸭,紐西蘭潛鴨,ニュージーランドスズガモ
ANSERIFORMES,Anatidae,Aythya collaris,Ring-necked Duck,环颈潜鸭,環頸潛鴨,クビワキンクロ
ANSERIFORMES,Anatidae,Aythya fuligula,Tufted Duck,凤头潜鸭,鳳頭潛鴨,キンクロハジロ
ANSERIFORMES,Anatidae,Aythya marila,Greater Scaup,斑背潜鸭,斑背潛鴨,スズガモ
ANSERIFORMES,Anatidae,Aythya affinis,Lesser Scaup,小潜鸭,小潛鴨,コスズガモ
ANSERIFORMES,Anatidae,Polysticta stelleri,Steller's Eider,小绒鸭,小絨鴨,コケワタガモ
ANSERIFORMES,Anatidae,Camptorhynchus labradorius,Labrador Duck,拉布拉多鸭,拉布拉多鴨1875滅絕,カササギガモ
ANSERIFORMES,Anatidae,Somateria fischeri,Spectacled Eider,白眶绒鸭,眼眶絨鴨,メガネケワタガモ
ANSERIFORMES,Anatidae,Somateria spectabilis,King Eider,王绒鸭,王絨鴨,ケワタガモ
ANSERIFORMES,Anatidae,Somateria mollissima,Common Eider,欧绒鸭,歐絨鴨,ホンケワタガモ
ANSERIFORMES,Anatidae,Histrionicus histrionicus,Harlequin Duck,丑鸭,丑鴨,シノリガモ
ANSERIFORMES,Anatidae,Melanitta perspicillata,Surf Scoter,斑头海番鸭,斑頭海番鴨,アラナミキンクロ
ANSERIFORMES,Anatidae,Melanitta fusca,Velvet Scoter,丝绒海番鸭,斑臉海番鴨,ヨーロッパビロードキンクロ
ANSERIFORMES,Anatidae,Melanitta deglandi,White-winged Scoter,白翅黑海番鸭,白翅海番鴨,アメリカビロードキンクロ
ANSERIFORMES,Anatidae,Melanitta stejnegeri,Stejneger's Scoter,斑脸海番鸭,,ビロードキンクロ
ANSERIFORMES,Anatidae,Melanitta nigra,Common Scoter,普通海番鸭,黑海番鴨〔普通海番鴨〕,ヨーロッパクロガモ
ANSERIFORMES,Anatidae,Melanitta americana,Black Scoter,黑海番鸭,美洲黑海番鴨,クロガモ
ANSERIFORMES,Anatidae,Clangula hyemalis,Long-tailed Duck,长尾鸭,長尾鴨,コオリガモ
